Day,Discipline_Code,Event,Phase,Venue
2024-07-31,JUD,Men -90 kg,Men -90 kg Quarterfinals,Champ-de-Mars Arena
2024-07-31,SAL,Women''s Windsurfing,Women''s Windsurfing Opening Series,Marseille Marina
2024-07-31,ROW,Women''s Quadruple Sculls,Women''s Quad. Sculls Finals,Nautical St - Flat water
2024-07-31,ARC,Women''s Individual,Women''s Individual 1-32 Elimination Rnd,Invalides
2024-07-31,HOC,Women,Women''s Pool A,Yves-du-Manoir Stadium
2024-07-31,ARC,Men''s Individual,Men''s Individual 1-16 Elimination Round,Invalides
2024-07-31,TEN,Men''s Doubles,Men''s Doubles Second Round,Roland-Garros Stadium
2024-07-31,VVO,Men,Men''s Preliminary Round - Pool C,South Paris Arena 1
2024-07-31,ARC,Women''s Individual,Women''s Individual 1-16 Elimination Rnd,Invalides
2024-07-31,BOX,Women''s 60kg,Women''s 60kg - Quarterfinals,North Paris Arena
2024-07-31,BMF,Women''s Park,Women''s Park Final,La Concorde 2
2024-07-31,FEN,Men''s Sabre Team,Men''s Sabre Team Table of 8,Grand Palais
2024-07-31,TEN,Men''s Doubles,Men''s Doubles Quarter-finals,Roland-Garros Stadium
2024-07-31,SAL,Men''s Windsurfing,Men''s Windsurfing Opening Series,Marseille Marina
2024-07-31,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp L,La Chapelle Arena
2024-07-31,WPO,Women,Women''s Preliminary Round - Group A,Aquatics Centre
2024-07-31,SAL,Men''s Skiff,Men''s Skiff Opening Series,Marseille Marina
2024-07-31,BMF,Men''s Park,Men''s Park Final,La Concorde 2
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp D,La Chapelle Arena
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp E,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp G,La Chapelle Arena
2024-07-31,FEN,Men''s Sabre Team,Men''s Sabre Team Classifications 5-8,Grand Palais
2024-07-31,TTE,Men''s Singles,Men''s Singles Round of 16,South Paris Arena 4
2024-07-31,TTE,Women''s Singles,Women''s Singles Round of 16,South Paris Arena 4
2024-07-31,SAL,Women''s Skiff,Women''s Skiff Opening Series,Marseille Marina
2024-07-31,CSL,Women''s Canoe Single,Women''s Canoe Single Semifinal,Nautical St - White water
2024-07-31,SHO,Trap Women,Trap Women''s Final,Chateauroux Shooting Ctr
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp J,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp I,La Chapelle Arena
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp G,La Chapelle Arena
2024-07-31,FEN,Men''s Sabre Team,Men''s Sabre Team Semifinals,Grand Palais
2024-07-31,VBV,Men,Men''s Preliminary - Pool B - Matches,Eiffel Tower Stadium
2024-07-31,JUD,Women -70 kg,Women -70 kg Repechage,Champ-de-Mars Arena
2024-07-31,JUD,Women -70 kg,Women -70 kg Semifinals,Champ-de-Mars Arena
2024-07-31,JUD,Men -90 kg,Men -90 kg Repechage,Champ-de-Mars Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp E,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp J,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp H,La Chapelle Arena
2024-07-31,JUD,Men -90 kg,Men -90 kg Semifinals,Champ-de-Mars Arena
2024-07-31,FEN,Men''s Sabre Team,Men''s Sabre Team Finals,Grand Palais
2024-07-31,JUD,Women -70 kg,Women -70 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-31,FBL,Women,Women''s Group C,Bordeaux Stadium
2024-07-31,JUD,Women -70 kg,Women -70 kg Final,Champ-de-Mars Arena
2024-07-31,VVO,Women,Women''s Preliminary Round - Pool A,South Paris Arena 1
2024-07-31,JUD,Men -90 kg,Men -90 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-31,BKB,Men,Men''s Group Phase - Group C,Pierre Mauroy Stadium
2024-07-31,JUD,Men -90 kg,Men -90 kg Final,Champ-de-Mars Arena
2024-07-31,CSL,Women''s Canoe Single,Women''s Canoe Single Final,Nautical St - White water
2024-07-31,BK3,Women,Women''s Pool Round,La Concorde 1
2024-07-31,GAR,Men''s All-Around,Men''s All-Around Final,Bercy Arena
2024-07-31,HOC,Men,Men''s Pool A,Yves-du-Manoir Stadium
2024-07-31,SHO,50m Rifle 3 Positions Women,50m Rifle 3 Pos. Women''s Training,Chateauroux Shooting Ctr
2024-07-31,WPO,Women,Women''s Preliminary Round - Group B,Aquatics Centre
2024-07-31,BK3,Men,Men''s Pool Round,La Concorde 1
2024-07-31,FBL,Women,Women''s Group B,Marseille Stadium
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp A,La Chapelle Arena
2024-07-31,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp P,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp K,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp M,La Chapelle Arena
2024-07-31,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp N,La Chapelle Arena
2024-07-31,BDM,Mixed Doubles,Mixed Doubles Quarterfinals,La Chapelle Arena
2024-07-31,SWM,Women''s 100m Freestyle,Women''s 100m Freestyle Final,Paris La Defense Arena
2024-07-31,SWM,Men''s 200m Butterfly,Men''s 200m Butterfly Final,Paris La Defense Arena
2024-07-31,SWM,Women''s 200m Butterfly,Women''s 200m Butterfly Semifinals,Paris La Defense Arena
2024-07-31,FBL,Women,Women''s Group A,Lyon Stadium
2024-07-31,VVO,Women,Women''s Preliminary Round - Pool B,South Paris Arena 1
2024-07-31,SWM,Women''s 1500m Freestyle,Women''s 1500m Freestyle Final,Paris La Defense Arena
2024-07-31,SWM,Men''s 200m Backstroke,Men''s 200m Backstroke Semifinals,Paris La Defense Arena
2024-07-31,SWM,Women''s 200m Breaststroke,Women''s 200m Breaststroke Semifinals,Paris La Defense Arena
2024-07-31,SWM,Men''s 200m Breaststroke,Men''s 200m Breaststroke Final,Paris La Defense Arena
2024-07-31,SWM,Men''s 100m Freestyle,Men''s 100m Freestyle Final,Paris La Defense Arena
2024-08-01,ATH,Men''s 20km Race Walk,Men''s 20km Race Walk Final,TrocadÃ©ro
2024-08-01,BDM,Women''s Doubles,Women''s Doubles Quarterfinals,La Chapelle Arena
2024-08-01,BK3,Women,Women''s Pool Round,La Concorde 1
2024-08-01,VBV,Men,Men''s Preliminary - Pool C - Matches,Eiffel Tower Stadium
2024-08-01,GLF,Men''s Individual Stroke Play,Men''s Individual Stroke Play,Le Golf National
2024-08-01,HBL,Women,Women''s Preliminary Round Group B,South Paris Arena 6
2024-08-01,SHO,25m Pistol Women,25m Pistol Women''s Training,Chateauroux Shooting Ctr
2024-08-01,SHO,Skeet Men,Skeet Men''s Training,Chateauroux Shooting Ctr
2024-08-01,VVO,Women,Women''s Preliminary Round - Pool C,South Paris Arena 1
2024-08-01,ARC,Men''s Individual,Men''s Individual 1-32 Elimination Round,Invalides
2024-08-01,ROW,Women''s Single Sculls,Women''s Single Sculls Semifinals,Nautical St - Flat water
2024-08-01,SHO,50m Rifle 3 Positions Men,50m Rifle 3 Positions Men''s Final,Chateauroux Shooting Ctr
2024-08-01,BDM,Men''s Singles,Men''s Singles Round of 16,La Chapelle Arena
2024-08-01,ATH,Women''s 20km Race Walk,Women''s 20km Race Walk Final,TrocadÃ©ro
2024-08-01,ROW,Men''s Single Sculls,Men''s Single Sculls Semifinals,Nautical St - Flat water
2024-08-01,ARC,Women''s Individual,Women''s Individual 1-32 Elimination Rnd,Invalides
2024-08-01,VBV,Men,Men''s Preliminary - Pool A - Matches,Eiffel Tower Stadium
2024-08-01,HOC,Men,Men''s Pool B,Yves-du-Manoir Stadium
2024-08-01,JUD,Men -100 kg,Men -100 kg Elimination Round of 32,Champ-de-Mars Arena
2024-08-01,JUD,Women -78 kg,Women -78 kg Elimination Round of 32,Champ-de-Mars Arena
2024-08-01,TTE,Women''s Singles,Women''s Singles Quarterfinals,South Paris Arena 4
2024-08-01,BK3,Men,Men''s Pool Round,La Concorde 1
2024-08-01,ROW,Women''s Eight,Women''s Eight Repechages,Nautical St - Flat water
2024-08-01,ROW,Men''s Eight,Men''s Eight Repechages,Nautical St - Flat water
2024-08-01,ARC,Men''s Individual,Men''s Individual 1-16 Elimination Round,Invalides
2024-08-01,ROW,Women''s Double Sculls,Women''s Double Sculls Finals,Nautical St - Flat water
2024-08-01,WPO,Men,Men''s Preliminary Round - Group A,Aquatics Centre
2024-08-01,ARC,Women''s Individual,Women''s Individual 1-16 Elimination Rnd,Invalides
2024-08-01,JUD,Women -78 kg,Women -78 kg Elimination Round of 16,Champ-de-Mars Arena
2024-08-01,ROW,Men''s Double Sculls,Men''s Double Sculls Finals,Nautical St - Flat water
2024-08-01,JUD,Men -100 kg,Men -100 kg Elimination Round of 16,Champ-de-Mars Arena
2024-08-01,ROW,Women''s Four,Women''s Four Finals,Nautical St - Flat water
2024-08-01,BKB,Women,Women''s Group Phase - Group C,Pierre Mauroy Stadium
2024-08-01,VBV,Women,Women''s Preliminary - Pool A - Matches,Eiffel Tower Stadium
2024-08-01,BOX,Women''s 50kg,Women''s 50kg - Prelims - Round of 16,North Paris Arena
2024-08-01,EQU,Jumping Team,Jumping Team Qualifier,ChÃ¢teau de Versailles
2024-08-01,HBL,Women,Women''s Preliminary Round Group A,South Paris Arena 6
2024-08-01,SWM,Women''s 200m Backstroke,Women''s 200m Backstroke - Heats,Paris La Defense Arena
2024-08-01,TTE,Men''s Singles,Men''s Singles Quarterfinals,South Paris Arena 4
2024-08-01,ROW,Men''s Four,Men''s Four Finals,Nautical St - Flat water
2024-08-01,SWM,Men''s 50m Freestyle,Men''s 50m Freestyle - Heats,Paris La Defense Arena
2024-08-01,JUD,Women -78 kg,Women -78 kg Quarterfinals,Champ-de-Mars Arena
2024-08-01,JUD,Men -100 kg,Men -100 kg Quarterfinals,Champ-de-Mars Arena
2024-08-01,SWM,Men''s 200m Individual Medley,Men''s 200m Individual Medley - Heats,Paris La Defense Arena
2024-08-01,BOX,Women''s 66kg,Women''s 66kg - Prelims - Round of 16,North Paris Arena
2024-08-01,FEN,Women''s Foil Team,Women''s Foil Team Table of 8,Grand Palais
2024-08-01,VBV,Men,Men''s Preliminary - Pool D - Matches,Eiffel Tower Stadium
2024-08-01,SHO,50m Rifle 3 Positions Women,50m Rifle 3 Pos. Women''s Qualification,Chateauroux Shooting Ctr
2024-08-01,TEN,Women''s Singles,Women''s Singles Semi-finals,Roland-Garros Stadium
2024-08-01,TEN,Women''s Doubles,Women''s Doubles Quarter-finals,Roland-Garros Stadium
2024-08-01,TEN,Men''s Singles,Men''s Singles Quarter-finals,Roland-Garros Stadium
2024-08-01,TEN,Men''s Doubles,Men''s Doubles Quarter-finals,Roland-Garros Stadium
2024-08-01,SAL,Men''s Windsurfing,Men''s Windsurfing Opening Series,Marseille Marina
2024-08-01,SWM,Women''s 4 x 200m Freestyle Relay,Women''s 4 x 200m Freestyle Relay - Heats,Paris La Defense Arena
2024-08-01,WPO,Men,Men''s Preliminary Round - Group B,Aquatics Centre
2024-08-01,SAL,Men''s Dinghy,Men''s Dinghy Opening Series,Marseille Marina
2024-08-01,SAL,Women''s Windsurfing,Women''s Windsurfing Opening Series,Marseille Marina
2024-08-01,BOX,Women''s 54kg,Women''s 54kg - Quarterfinals,North Paris Arena
2024-08-01,HOC,Men,Men''s Pool A,Yves-du-Manoir Stadium
2024-08-01,BOX,Men''s 63.5kg,Men''s 63.5kg - Quarterfinals,North Paris Arena
2024-08-01,BDM,Men''s Doubles,Men''s Doubles Quarterfinals,La Chapelle Arena
2024-08-01,TEN,Men''s Doubles,Men''s Doubles Semi-finals,Roland-Garros Stadium
2024-08-01,TEN,Mixed Doubles,Mixed Doubles Semi-finals,Roland-Garros Stadium
2024-08-01,VVO,Women,Women''s Preliminary Round - Pool B,South Paris Arena 1
2024-08-01,BOX,Men''s 92kg,Men''s 92kg - Quarterfinals,North Paris Arena
2024-08-01,BKB,Women,Women''s Group Phase - Group B,Pierre Mauroy Stadium
2024-08-01,FEN,Women''s Foil Team,Women''s Foil Team Classifications 5-8,Grand Palais
2024-08-01,FEN,Women''s Foil Team,Women''s Foil Team Semifinals,Grand Palais
2024-08-01,CSL,Men''s Kayak Single,Men''s Kayak Single Semifinal,Nautical St - White water
2024-08-01,SAL,Women''s Dinghy,Women''s Dinghy Opening Series,Marseille Marina
2024-08-01,VBV,Women,Women''s Preliminary - Pool B - Matches,Eiffel Tower Stadium
2024-08-01,FEN,Women''s Foil Team,Women''s Foil Team Finals,Grand Palais
2024-08-01,JUD,Men -100 kg,Men -100 kg Repechage,Champ-de-Mars Arena
2024-08-01,JUD,Men -100 kg,Men -100 kg Semifinals,Champ-de-Mars Arena
2024-08-01,JUD,Women -78 kg,Women -78 kg Repechage,Champ-de-Mars Arena
2024-08-01,JUD,Women -78 kg,Women -78 kg Semifinals,Champ-de-Mars Arena
2024-08-01,JUD,Men -100 kg,Men -100 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-08-01,HOC,Women,Women''s Pool B,Yves-du-Manoir Stadium
2024-08-01,JUD,Men -100 kg,Men -100 kg Final,Champ-de-Mars Arena
2024-08-01,JUD,Women -78 kg,Women -78 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-08-01,JUD,Women -78 kg,Women -78 kg Final,Champ-de-Mars Arena
2024-08-01,CSL,Men''s Kayak Single,Men''s Kayak Single Final,Nautical St - White water
2024-08-01,GAR,Women''s All-Around,Women''s All-Around Final,Bercy Arena
2024-08-01,BDM,Women''s Singles,Women''s Singles Round of 16,La Chapelle Arena
2024-08-01,SRF,Women,Women''s Round 3,"Teahupo''o, Tahiti"
2024-08-01,BDM,Mixed Doubles,Mixed Doubles Semifinals,La Chapelle Arena
2024-08-01,HOC,Women,Women''s Pool A,Yves-du-Manoir Stadium
2024-08-01,BMX,Men,"Men, Quarterfinals",BMX Stadium
2024-08-01,BMX,Women,"Women, Quarterfinals",BMX Stadium
2024-08-01,SWM,Women''s 200m Butterfly,Women''s 200m Butterfly Final,Paris La Defense Arena
2024-08-01,SWM,Men''s 200m Backstroke,Men''s 200m Backstroke Final,Paris La Defense Arena
2024-08-01,SWM,Men''s 50m Freestyle,Men''s 50m Freestyle Semifinals,Paris La Defense Arena
2024-08-01,VVO,Women,Women''s Preliminary Round - Pool A,South Paris Arena 1
2024-08-01,SWM,Women''s 200m Breaststroke,Women''s 200m Breaststroke Final,Paris La Defense Arena
2024-08-01,SWM,Women''s 200m Backstroke,Women''s 200m Backstroke Semifinals,Paris La Defense Arena
2024-08-01,SWM,Men''s 200m Individual Medley,Men''s 200m Individual Medley Semifinals,Paris La Defense Arena
2024-08-01,SWM,Women''s 4 x 200m Freestyle Relay,Women''s 4 x 200m Freestyle Relay Final,Paris La Defense Arena
2024-08-01,BMX,Men,"Men, Last Chance Race",BMX Stadium
2024-08-01,BMX,Women,"Women, Last Chance Race",BMX Stadium
2024-08-01,SRF,Men,Men''s Quarterfinals,"Teahupo''o, Tahiti"
2024-08-01,SRF,Women,Women''s Quarterfinals,"Teahupo''o, Tahiti"
2024-08-02,BDM,Women''s Doubles,Women''s Doubles Semifinals,La Chapelle Arena
2024-08-02,BK3,Women,Women''s Pool Round,La Concorde 1
2024-08-02,VBV,Women,Women''s Preliminary - Pool E - Matches,Eiffel Tower Stadium
2024-08-02,GLF,Men''s Individual Stroke Play,Men''s Individual Stroke Play,Le Golf National
2024-08-02,HBL,Men,Men''s Preliminary Round Group B,South Paris Arena 6
2024-08-02,SHO,25m Pistol Women,25m Pistol Women''s Qualification,Chateauroux Shooting Ctr
2024-08-02,VVO,Men,Men''s Preliminary Round - Pool C,South Paris Arena 1
2024-08-02,ARC,Mixed Team,Mixed Team 1-8 Elimination Round,Invalides
2024-08-02,ROW,Men''s Single Sculls,Men''s Single Sculls Finals,Nautical St - Flat water
2024-08-02,SHO,Skeet Men,Skeet Men''s Qualification,Chateauroux Shooting Ctr
2024-08-02,SHO,50m Rifle 3 Positions Women,50m Rifle 3 Positions Women''s Final,Chateauroux Shooting Ctr
2024-08-02,ROW,Women''s Single Sculls,Women''s Single Sculls Finals,Nautical St - Flat water
2024-08-02,VBV,Men,Men''s Preliminary - Pool B - Matches,Eiffel Tower Stadium
2024-08-02,HOC,Women,Women''s Pool A,Yves-du-Manoir Stadium
2024-08-02,JUD,Women +78 kg,Women +78 kg Elimination Round of 32,Champ-de-Mars Arena
2024-08-02,JUD,Men +100 kg,Men +100 kg Elimination Round of 32,Champ-de-Mars Arena
2024-08-02,TTE,Women''s Singles,Women''s Singles Semifinals,South Paris Arena 4
2024-08-02,BK3,Men,Men''s Pool Round,La Concorde 1
2024-08-02,ATH,Men''s Decathlon,Men''s Decathlon 100m,Stade de France
2024-08-02,ATH,Men''s Hammer Throw,Men''s Hammer Throw Qualification,Stade de France
2024-08-02,ATH,Women''s High Jump,Women''s High Jump Qualification,Stade de France
2024-08-02,HOC,Men,Men''s Pool A,Yves-du-Manoir Stadium
2024-08-02,ATH,Women''s 100m,Women''s 100m Preliminary Round,Stade de France
2024-08-02,JUD,Men +100 kg,Men +100 kg Elimination Round of 16,Champ-de-Mars Arena
2024-08-02,ROW,Men''s Pair,Men''s Pair Finals,Nautical St - Flat water
2024-08-02,BDM,Men''s Doubles,Men''s Doubles Semifinals,La Chapelle Arena
2024-08-02,ROW,Women''s Pair,Women''s Pair Finals,Nautical St - Flat water
2024-08-02,ATH,Men''s Decathlon,Men''s Decathlon Long Jump,Stade de France
2024-08-02,BKB,Men,Men''s Group Phase - Group B,Pierre Mauroy Stadium
2024-08-02,VBV,Men,Men''s Preliminary - Pool E - Matches,Eiffel Tower Stadium
2024-08-02,DIV,Men''s Synchronised 3m Springboard,Men''s Synchronised 3m Springboard,Aquatics Centre
2024-08-02,JUD,Women +78 kg,Women +78 kg Elimination Round of 16,Champ-de-Mars Arena
2024-08-02,SWM,Men''s 100m Butterfly,Men''s 100m Butterfly - Heats,Paris La Defense Arena
2024-08-02,TTE,Men''s Singles,Men''s Singles Semifinals,South Paris Arena 4
2024-08-02,ROW,Lightweight Men''s Double Sculls,LWT Men''s Double Sculls Finals,Nautical St - Flat water
2024-08-02,ATH,Men''s 1500m,Men''s 1500m Round 1,Stade de France
2024-08-02,SWM,Women''s 200m Individual Medley,Women''s 200m Individual Medley - Heats,Paris La Defense Arena
2024-08-02,ROW,Lightweight Women''s Double Sculls,LWT Women''s Double Sculls Finals,Nautical St - Flat water
2024-08-02,JUD,Men +100 kg,Men +100 kg Quarterfinals,Champ-de-Mars Arena
2024-08-02,SWM,Women''s 800m Freestyle,Women''s 800m Freestyle - Heats,Paris La Defense Arena
2024-08-02,JUD,Women +78 kg,Women +78 kg Quarterfinals,Champ-de-Mars Arena
2024-08-02,ATH,Women''s 100m,Women''s 100m Round 1,Stade de France
2024-08-02,VBV,Women,Women''s Preliminary - Pool C - Matches,Eiffel Tower Stadium
2024-08-02,TEN,Women''s Doubles,Women''s Doubles Semi-finals,Roland-Garros Stadium
2024-08-02,TEN,Men''s Doubles,Men''s Doubles Semi-finals,Roland-Garros Stadium
2024-08-02,TEN,Mixed Doubles,Mixed Doubles Finals,Roland-Garros Stadium
2024-08-02,GTR,Women,Women''s Qualification,Bercy Arena
2024-08-02,SWM,Mixed 4 x 100m Medley Relay,Mixed 4 x 100m Medley Relay - Heats,Paris La Defense Arena
2024-08-02,SAL,Women''s Dinghy,Women''s Dinghy Opening Series,Marseille Marina
2024-08-02,SAL,Mixed Dinghy,Mixed Dinghy Opening Series,Marseille Marina
2024-08-02,SAL,Women''s Skiff,Women''s Skiff Medal Race,Marseille Marina
2024-08-02,ATH,Men''s Decathlon,Men''s Decathlon Shot Put,Stade de France
2024-08-02,SAL,Men''s Dinghy,Men''s Dinghy Opening Series,Marseille Marina
2024-08-02,VVO,Men,Men''s Preliminary Round - Pool B,South Paris Arena 1
2024-08-02,SAL,Men''s Skiff,Men''s Skiff Medal Race,Marseille Marina
2024-08-02,HOC,Men,Men''s Pool B,Yves-du-Manoir Stadium
2024-08-02,BKB,Men,Men''s Group Phase - Group A,Pierre Mauroy Stadium
2024-08-02,FEN,Men''s Ã‰pÃ©e Team,Men''s Ã‰pÃ©e Team Table of 8,Grand Palais
2024-08-02,TEN,Men''s Singles,Men''s Singles Semi-finals,Roland-Garros Stadium
2024-08-02,TEN,Women''s Singles,Women''s Singles Finals,Roland-Garros Stadium
2024-08-02,GTR,Women,Women''s Final,Bercy Arena
2024-08-02,EQU,Jumping Team,Jumping Team Finals,ChÃ¢teau de Versailles
2024-08-02,HBL,Men,Men''s Preliminary Round Group A,South Paris Arena 6
2024-08-02,WPO,Women,Women''s Preliminary Round - Group A,Aquatics Centre
2024-08-02,ARC,Mixed Team,Mixed Team Quarterfinals,Invalides
2024-08-02,SHO,Skeet Women,Skeet Women''s Training,Chateauroux Shooting Ctr
2024-08-02,BDM,Mixed Doubles,Mixed Doubles Finals,La Chapelle Arena
2024-08-02,VBV,Men,Men''s Preliminary - Pool F - Matches,Eiffel Tower Stadium
2024-08-02,FEN,Men''s Ã‰pÃ©e Team,Men''s Ã‰pÃ©e Team Classifications 5-8,Grand Palais
2024-08-02,FBL,Men,Men''s Quarter-finals,Parc des Princes
2024-08-02,BOX,Women''s 57kg,Women''s 57kg - Prelims - Round of 16,North Paris Arena
2024-08-02,CSL,Men''s Kayak Cross,Men''s Kayak Cross Time Trial,Nautical St - White water
2024-08-02,ARC,Mixed Team,Mixed Team Semifinals,Invalides
2024-08-02,WPO,Women,Women''s Preliminary Round - Group B,Aquatics Centre
2024-08-02,FEN,Men''s Ã‰pÃ©e Team,Men''s Ã‰pÃ©e Team Semifinals,Grand Palais
2024-08-02,JUD,Women +78 kg,Women +78 kg Repechage,Champ-de-Mars Arena
2024-08-02,JUD,Women +78 kg,Women +78 kg Semifinals,Champ-de-Mars Arena
2024-08-02,ARC,Mixed Team,Mixed Team Finals,Invalides
2024-08-02,JUD,Men +100 kg,Men +100 kg Repechage,Champ-de-Mars Arena
2024-08-02,BOX,Men''s 51kg,Men''s 51kg - Quarterfinals,North Paris Arena
2024-08-02,JUD,Men +100 kg,Men +100 kg Semifinals,Champ-de-Mars Arena
2024-08-02,CSL,Women''s Kayak Cross,Women''s Kayak Cross Time Trial,Nautical St - White water
2024-08-02,FEN,Men''s Ã‰pÃ©e Team,Men''s Ã‰pÃ©e Team Finals,Grand Palais
2024-08-02,JUD,Women +78 kg,Women +78 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-08-02,JUD,Women +78 kg,Women +78 kg Final,Champ-de-Mars Arena
2024-08-02,VVO,Men,Men''s Preliminary Round - Pool A,South Paris Arena 1
2024-08-02,BOX,Men''s 80kg,Men''s 80kg - Quarterfinals,North Paris Arena
2024-08-02,JUD,Men +100 kg,Men +100 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-08-02,JUD,Men +100 kg,Men +100 kg Final,Champ-de-Mars Arena
2024-08-02,BDM,Men''s Singles,Men''s Singles Quarterfinals,La Chapelle Arena
2024-08-02,BOX,Men''s +92kg,Men''s +92kg - Quarterfinals,North Paris Arena
2024-08-02,ATH,Men''s Decathlon,Men''s Decathlon High Jump,Stade de France
2024-08-02,GTR,Men,Men''s Qualification,Bercy Arena
2024-08-02,ATH,Women''s 5000m,Women''s 5000m Round 1,Stade de France
2024-08-02,ATH,Women''s Triple Jump,Women''s Triple Jump Qualification,Stade de France
2024-08-02,ATH,Women''s Discus Throw,Women''s Discus Throw Qualification,Stade de France
2024-08-02,ATH,4 x 400m Relay Mixed,4 x 400m Relay Mixed Round 1,Stade de France
2024-08-02,ATH,Women''s 800m,Women''s 800m Round 1,Stade de France
2024-08-02,GTR,Men,Men''s Final,Bercy Arena
2024-08-02,BMX,Men,"Men, Semifinals",BMX Stadium
2024-08-02,ATH,Men''s Shot Put,Men''s Shot Put Qualification,Stade de France
2024-08-02,BMX,Women,"Women, Semifinals",BMX Stadium
2024-08-02,SWM,Men''s 50m Freestyle,Men''s 50m Freestyle Final,Paris La Defense Arena
2024-08-02,SWM,Women''s 200m Backstroke,Women''s 200m Backstroke Final,Paris La Defense Arena
2024-08-02,SWM,Men''s 200m Individual Medley,Men''s 200m Individual Medley Final,Paris La Defense Arena
2024-08-02,ATH,Men''s Decathlon,Men''s Decathlon 400m,Stade de France
2024-08-02,SWM,Men''s 100m Butterfly,Men''s 100m Butterfly Semifinals,Paris La Defense Arena
2024-08-02,ATH,"Men''s 10,000m","Men''s 10,000m Final",Stade de France
2024-08-02,SWM,Women''s 200m Individual Medley,Women''s 200m Ind. Medley Semifinals,Paris La Defense Arena
2024-08-02,BMX,Men,"Men, Final",BMX Stadium
2024-08-02,BMX,Women,"Women, Final",BMX Stadium
2024-08-03,JUD,Mixed Team,Mixed Team Elimination Round of 32,Champ-de-Mars Arena
2024-08-03,BDM,Women''s Singles,Women''s Singles Quarterfinals,La Chapelle Arena
2024-08-03,JUD,Mixed Team,Mixed Team Elimination Round of 16,Champ-de-Mars Arena
2024-08-03,VBV,Men,Men''s Preliminary - Pool C - Matches,Eiffel Tower Stadium
2024-08-03,GLF,Men''s Individual Stroke Play,Men''s Individual Stroke Play,Le Golf National
2024-08-03,HBL,Women,Women''s Preliminary Round Group B,South Paris Arena 6
2024-08-03,SHO,Skeet Men,Skeet Men''s Qualification,Chateauroux Shooting Ctr
2024-08-03,SHO,Skeet Women,Skeet Women''s Qualification,Chateauroux Shooting Ctr
2024-08-03,VVO,Women,Women''s Preliminary Round - Pool C,South Paris Arena 1
2024-08-03,ARC,Women''s Individual,Women''s Individual 1-8 Elimination Round,Invalides
2024-08-03,ROW,Women''s Single Sculls,Women''s Single Sculls Finals,Nautical St - Flat water
2024-08-03,SHO,25m Pistol Women,25m Pistol Women''s Final,Chateauroux Shooting Ctr
2024-08-03,ROW,Men''s Single Sculls,Men''s Single Sculls Finals,Nautical St - Flat water
2024-08-03,EQU,Dressage Team,Dressage Team Grand Prix Special,ChÃ¢teau de Versailles
2024-08-03,HOC,Women,Women''s Pool B,Yves-du-Manoir Stadium
2024-08-03,ATH,Men''s Decathlon,Men''s Decathlon 110m Hurdles,Stade de France
2024-08-03,ATH,Men''s Pole Vault,Men''s Pole Vault Qualification,Stade de France
2024-08-03,HOC,Women,Women''s Pool A,Yves-du-Manoir Stadium
2024-08-03,WPO,Men,Men''s Preliminary Round - Group B,Aquatics Centre
2024-08-03,ATH,Men''s 100m,Men''s 100m Preliminary Round,Stade de France
2024-08-03,ROW,Women''s Eight,Women''s Eight Finals,Nautical St - Flat water
2024-08-03,ATH,Men''s Decathlon,Men''s Decathlon Discus Throw,Stade de France
2024-08-03,BKB,Women,Women''s Group Phase - Group A,Pierre Mauroy Stadium
2024-08-03,VBV,Women,Women''s Preliminary - Pool D - Matches,Eiffel Tower Stadium
2024-08-03,CRD,Men''s Road Race,Men''s Road Race,TrocadÃ©ro
2024-08-03,SHO,25m Rapid Fire Pistol Men,25m Rapid Fire Pistol Men''s Training,Chateauroux Shooting Ctr
2024-08-03,SWM,Women''s 50m Freestyle,Women''s 50m Freestyle - Heats,Paris La Defense Arena
2024-08-03,ROW,Men''s Eight,Men''s Eight Finals,Nautical St - Flat water
2024-08-03,ATH,Women''s 800m,Women''s 800m Repechage Round,Stade de France
