Day,Discipline_Code,Event,Phase,Venue
2024-07-29,HOC,Men,Men''s Pool B,Yves-du-Manoir Stadium
2024-07-29,JUD,Women -57 kg,Women -57 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-29,JUD,Men -73 kg,Men -73 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-29,TTE,Men''s Singles,Men''s Singles Round of 64,South Paris Arena 4
2024-07-29,TTE,Women''s Singles,Women''s Singles Round of 64,South Paris Arena 4
2024-07-29,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp A,La Chapelle Arena
2024-07-29,ROW,Men''s Pair,Men''s Pair Repechages,Nautical St - Flat water
2024-07-29,FEN,Women''s Sabre Individual,Women''s Sabre Individual Table of 32,Grand Palais
2024-07-29,HOC,Women,Women''s Pool A,Yves-du-Manoir Stadium
2024-07-29,ROW,Women''s Pair,Women''s Pair Repechages,Nautical St - Flat water
2024-07-29,ROW,Lightweight Men''s Double Sculls,LWT Men''s Double Sculls Repechages,Nautical St - Flat water
2024-07-29,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp I,La Chapelle Arena
2024-07-29,BKB,Women,Women''s Group Phase - Group B,Pierre Mauroy Stadium
2024-07-29,VBV,Women,Women''s Preliminary - Pool B - Matches,Eiffel Tower Stadium
2024-07-29,BOX,Women''s 60kg,Women''s 60kg - Prelims - Round of 16,North Paris Arena
2024-07-29,DIV,Men''s Synchronised 10m Platform,Men''s Synchronised 10m Platform,Aquatics Centre
2024-07-29,EQU,Eventing Team,Eventing Team Jumping Final,Ch̢teau de Versailles
2024-07-29,EQU,Eventing Individual,Eventing Individual Jumping,Ch̢teau de Versailles
2024-07-29,ROW,Lightweight Women''s Double Sculls,LWT Women''s Double Sculls Repechages,Nautical St - Flat water
2024-07-29,SWM,Women''s 400m Individual Medley,Women''s 400m Individual Medley - Heats,Paris La Defense Arena
2024-07-29,JUD,Women -57 kg,Women -57 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-29,SWM,Women''s 100m Backstroke,Women''s 100m Backstroke - Heats,Paris La Defense Arena
2024-07-29,ROW,Men''s Quadruple Sculls,Men''s Quad. Sculls Repechages,Nautical St - Flat water
2024-07-29,JUD,Men -73 kg,Men -73 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-29,SWM,Men''s 800m Freestyle,Men''s 800m Freestyle - Heats,Paris La Defense Arena
2024-07-29,ROW,Women''s Quadruple Sculls,Women''s Quad. Sculls Repechages,Nautical St - Flat water
2024-07-29,ROW,Men''s Eight,Men''s Eight Heats,Nautical St - Flat water
2024-07-29,BOX,Men''s 63.5kg,Men''s 63.5kg - Prelims - Round of 16,North Paris Arena
2024-07-29,VBV,Women,Women''s Preliminary - Pool F - Matches,Eiffel Tower Stadium
2024-07-29,JUD,Women -57 kg,Women -57 kg Quarterfinals,Champ-de-Mars Arena
2024-07-29,ROW,Women''s Eight,Women''s Eight Heats,Nautical St - Flat water
2024-07-29,SHO,10m Air Rifle Men,10m Air Rifle Men''s Final,Chateauroux Shooting Ctr
2024-07-29,SKB,Men''s Street,Men''s Street Prelims,La Concorde 3
2024-07-29,TEN,Women''s Singles,Women''s Singles Second Round,Roland-Garros Stadium
2024-07-29,TEN,Women''s Doubles,Women''s Doubles First Round,Roland-Garros Stadium
2024-07-29,TEN,Men''s Doubles,Men''s Doubles First Round,Roland-Garros Stadium
2024-07-29,TEN,Men''s Singles,Men''s Singles Second Round,Roland-Garros Stadium
2024-07-29,TEN,Mixed Doubles,Mixed Doubles First Round,Roland-Garros Stadium
2024-07-29,SAL,Women''s Windsurfing,Women''s Windsurfing Opening Series,Marseille Marina
2024-07-29,FEN,Men''s Foil Individual,Men''s Foil Individual Table of 32,Grand Palais
2024-07-29,SAL,Men''s Skiff,Men''s Skiff Opening Series,Marseille Marina
2024-07-29,JUD,Men -73 kg,Men -73 kg Quarterfinals,Champ-de-Mars Arena
2024-07-29,SAL,Women''s Skiff,Women''s Skiff Opening Series,Marseille Marina
2024-07-29,SAL,Men''s Windsurfing,Men''s Windsurfing Opening Series,Marseille Marina
2024-07-29,BOX,Men''s +92kg,Men''s +92kg - Prelims - Round of 16,North Paris Arena
2024-07-29,VVO,Women,Women''s Preliminary Round - Pool B,South Paris Arena 1
2024-07-29,HOC,Women,Women''s Pool B,Yves-du-Manoir Stadium
2024-07-29,BKB,Women,Women''s Group Phase - Group C,Pierre Mauroy Stadium
2024-07-29,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp B,La Chapelle Arena
2024-07-29,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp L,La Chapelle Arena
2024-07-29,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp H,La Chapelle Arena
2024-07-29,HBL,Men,Men''s Preliminary Round Group B,South Paris Arena 6
2024-07-29,RU7,Women,Women''s Pool B,Stade de France
2024-07-29,WPO,Women,Women''s Preliminary Round - Group B,Aquatics Centre
2024-07-29,FEN,Women''s Sabre Individual,Women''s Sabre Individual Table of 16,Grand Palais
2024-07-29,MTB,Men''s Cross-country,Men''s Cross-country,Elancourt Hill
2024-07-29,ARC,Men''s Team,Men''s Team Quarterfinals,Invalides
2024-07-29,SHO,Trap Women,Trap Women''s Training,Chateauroux Shooting Ctr
2024-07-29,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-29,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp D,La Chapelle Arena
2024-07-29,FEN,Men''s Foil Individual,Men''s Foil Individual Table of 16,Grand Palais
2024-07-29,VBV,Women,Women''s Preliminary - Pool D - Matches,Eiffel Tower Stadium
2024-07-29,RU7,Women,Women''s Pool C,Stade de France
2024-07-29,CSL,Men''s Canoe Single,Men''s Canoe Single Semifinal,Nautical St - White water
2024-07-29,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp D,La Chapelle Arena
2024-07-29,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-29,ARC,Men''s Team,Men''s Team Semifinals,Invalides
2024-07-29,FEN,Women''s Sabre Individual,Women''s Sabre Individual Table of 8,Grand Palais
2024-07-29,JUD,Women -57 kg,Women -57 kg Repechage,Champ-de-Mars Arena
2024-07-29,RU7,Women,Women''s Pool A,Stade de France
2024-07-29,TTE,Mixed Doubles,Mixed Doubles Semifinals,South Paris Arena 4
2024-07-29,JUD,Women -57 kg,Women -57 kg Semifinals,Champ-de-Mars Arena
2024-07-29,FEN,Men''s Foil Individual,Men''s Foil Individual Table of 8,Grand Palais
2024-07-29,JUD,Men -73 kg,Men -73 kg Repechage,Champ-de-Mars Arena
2024-07-29,JUD,Men -73 kg,Men -73 kg Semifinals,Champ-de-Mars Arena
2024-07-29,ARC,Men''s Team,Men''s Team Finals,Invalides
2024-07-29,JUD,Women -57 kg,Women -57 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-29,JUD,Women -57 kg,Women -57 kg Final,Champ-de-Mars Arena
2024-07-29,SKB,Men''s Street,Men''s Street Final,La Concorde 3
2024-07-29,VVO,Women,Women''s Preliminary Round - Pool A,South Paris Arena 1
2024-07-29,JUD,Men -73 kg,Men -73 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-29,JUD,Men -73 kg,Men -73 kg Final,Champ-de-Mars Arena
2024-07-29,CSL,Men''s Canoe Single,Men''s Canoe Single Final,Nautical St - White water
2024-07-29,GAR,Men''s Team,Men''s Team Final,Bercy Arena
2024-07-29,WPO,Women,Women''s Preliminary Round - Group A,Aquatics Centre
2024-07-29,FEN,Women''s Sabre Individual,Women''s Sabre Individual Semifinals,Grand Palais
2024-07-29,SRF,Men,Men''s Round 3,"Teahupo''o, Tahiti"
2024-07-29,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp C,La Chapelle Arena
2024-07-29,FEN,Men''s Foil Individual,Men''s Foil Individual Semifinals,Grand Palais
2024-07-29,RU7,Women,Women''s Placing 9-12,Stade de France
2024-07-29,TTE,Men''s Singles,Men''s Singles Round of 32,South Paris Arena 4
2024-07-29,TTE,Women''s Singles,Women''s Singles Round of 32,South Paris Arena 4
2024-07-29,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-29,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-29,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp E,La Chapelle Arena
2024-07-29,SWM,Women''s 400m Individual Medley,Women''s 400m Individual Medley Final,Paris La Defense Arena
2024-07-29,SWM,Men''s 200m Freestyle,Men''s 200m Freestyle Final,Paris La Defense Arena
2024-07-29,FEN,Women''s Sabre Individual,Women''s Sabre Individual Finals,Grand Palais
2024-07-29,RU7,Women,Women''s Quarter-finals,Stade de France
2024-07-29,SWM,Women''s 100m Backstroke,Women''s 100m Backstroke Semifinals,Paris La Defense Arena
2024-07-29,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp P,La Chapelle Arena
2024-07-29,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp K,La Chapelle Arena
2024-07-29,FEN,Men''s Foil Individual,Men''s Foil Individual Finals,Grand Palais
2024-07-29,SWM,Men''s 100m Backstroke,Men''s 100m Backstroke Final,Paris La Defense Arena
2024-07-29,SWM,Women''s 100m Breaststroke,Women''s 100m Breaststroke Final,Paris La Defense Arena
2024-07-29,SWM,Women''s 200m Freestyle,Women''s 200m Freestyle Final,Paris La Defense Arena
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp E,La Chapelle Arena
2024-07-30,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp G,La Chapelle Arena
2024-07-30,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp M,La Chapelle Arena
2024-07-30,VBV,Men,Men''s Preliminary - Pool C - Matches,Eiffel Tower Stadium
2024-07-30,HBL,Women,Women''s Preliminary Round Group A,South Paris Arena 6
2024-07-30,SHO,Trap Men,Trap Men''s Qualification,Chateauroux Shooting Ctr
2024-07-30,SHO,Trap Women,Trap Women''s Qualification,Chateauroux Shooting Ctr
2024-07-30,VVO,Men,Men''s Preliminary Round - Pool B,South Paris Arena 1
2024-07-30,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp B,La Chapelle Arena
